,User_id,Restaurant_id,Rating_id
0,10,26,0.0
1,19,24,0.0
2,63,24,0.0
3,4,24,1.0
4,3,26,2.0
5,13,26,2.0
6,78,24,2.0
7,88,24,2.0
8,51,24,2.0
9,51,27,2.0
10,66,24,2.0
11,53,24,2.0
12,59,24,2.0
13,49,24,2.0
14,62,24,2.0
15,52,24,2.0
16,16,31,2.0
17,69,19,2.0
18,75,9,2.0
19,37,33,3.0
20,40,17,3.0
21,40,33,3.0
22,6,24,3.0
23,6,27,3.0
24,0,26,4.0
25,18,26,4.0
26,25,26,4.0
27,33,26,4.0
28,37,17,4.0
29,39,17,4.0
30,39,33,4.0
31,50,33,4.0
32,54,33,4.0
33,78,27,4.0
34,88,27,4.0
35,19,14,4.0
36,19,1,4.0
37,17,24,4.0
38,59,27,4.0
39,28,5,4.0
40,64,5,4.0
41,12,18,4.0
42,29,32,4.0
43,23,32,4.0
44,86,9,4.0
45,69,16,4.0
46,76,16,4.0
47,42,15,4.0
48,2,16,4.0
49,82,3,4.0
50,82,16,4.0
51,26,32,4.0
52,26,10,4.0
53,75,32,4.0
54,75,13,4.0
55,38,13,4.0
56,63,27,5.0
57,5,26,6.0
58,10,33,6.0
59,22,26,6.0
60,31,26,6.0
61,83,24,6.0
62,6,14,6.0
63,32,24,6.0
64,28,27,6.0
65,56,24,6.0
66,16,5,6.0
67,16,21,6.0
68,12,6,6.0
69,12,31,6.0
70,12,21,6.0
71,12,4,6.0
72,71,4,6.0
73,71,15,6.0
74,29,13,6.0
75,86,32,6.0
76,76,15,6.0
77,42,3,6.0
78,2,19,6.0
79,26,13,6.0
80,0,17,7.0
81,13,29,7.0
82,18,17,7.0
83,22,17,7.0
84,25,33,7.0
85,27,26,7.0
86,73,11,7.0
87,77,11,7.0
88,84,27,7.0
89,14,11,7.0
90,14,24,7.0
91,66,11,7.0
92,17,14,7.0
93,17,27,7.0
94,4,5,7.0
95,49,5,7.0
96,64,27,7.0
97,64,6,7.0
98,1,21,7.0
99,20,5,7.0
100,20,18,7.0
101,47,15,7.0
102,8,4,7.0
103,44,31,7.0
104,35,31,7.0
105,35,21,7.0
106,80,4,7.0
107,80,15,7.0
108,72,3,7.0
109,72,3,7.0
110,9,4,7.0
111,9,15,7.0
112,58,4,7.0
113,58,15,7.0
114,29,9,7.0
115,23,18,7.0
116,23,4,7.0
117,30,18,7.0
118,30,4,7.0
119,69,15,7.0
120,69,3,7.0
121,76,19,7.0
122,41,19,7.0
123,42,16,7.0
124,48,19,7.0
125,67,19,7.0
126,68,19,7.0
127,68,13,7.0
128,82,19,7.0
129,43,19,7.0
130,15,9,7.0
131,85,9,7.0
132,85,13,7.0
133,38,32,7.0
134,55,34,7.0
135,83,14,8.0
136,49,6,8.0
137,3,29,9.0
138,3,17,9.0
139,5,33,9.0
140,10,12,9.0
141,18,33,9.0
142,25,12,9.0
143,27,17,9.0
144,31,17,9.0
145,33,33,9.0
146,50,0,9.0
147,54,26,9.0
148,54,0,9.0
149,73,30,9.0
150,78,14,9.0
151,84,11,9.0
152,14,27,9.0
153,19,11,9.0
154,66,14,9.0
155,66,27,9.0
156,6,11,9.0
157,32,14,9.0
158,32,27,9.0
159,4,27,9.0
160,52,27,9.0
161,56,27,9.0
162,21,18,9.0
163,46,5,9.0
164,46,31,9.0
165,46,18,9.0
166,87,31,9.0
167,87,18,9.0
168,47,18,9.0
169,47,4,9.0
170,12,18,9.0
171,7,31,9.0
172,7,21,9.0
173,44,21,9.0
174,44,15,9.0
175,24,31,9.0
176,80,18,9.0
177,11,21,9.0
178,11,18,9.0
179,72,4,9.0
180,71,18,9.0
181,58,18,9.0
182,23,13,9.0
183,30,15,9.0
184,86,3,9.0
185,79,15,9.0
186,79,3,9.0
187,70,18,9.0
188,41,15,9.0
189,41,16,9.0
190,42,19,9.0
191,2,15,9.0
192,48,3,9.0
193,48,16,9.0
194,68,16,9.0
195,36,3,9.0
196,36,19,9.0
197,34,3,9.0
198,34,9,9.0
199,43,16,9.0
200,15,10,9.0
201,26,9,9.0
202,85,32,9.0
203,38,34,9.0
204,55,2,9.0
205,65,8,9.0
206,0,29,10.0
207,3,12,10.0
208,5,17,10.0
209,10,17,10.0
210,18,29,10.0
211,27,12,10.0
212,31,12,10.0
213,33,17,10.0
214,40,7,10.0
215,50,26,10.0
216,54,30,10.0
217,73,7,10.0
218,73,0,10.0
219,77,30,10.0
220,78,11,10.0
221,88,14,10.0
222,84,1,10.0
223,14,1,10.0
224,51,14,10.0
225,51,1,10.0
226,19,27,10.0
227,17,11,10.0
228,17,1,10.0
229,32,11,10.0
230,4,6,10.0
231,53,5,10.0
232,52,6,10.0
233,60,6,10.0
234,60,21,10.0
235,64,21,10.0
236,1,27,10.0
237,1,5,10.0
238,20,6,10.0
239,20,21,10.0
240,21,5,10.0
241,16,18,10.0
242,87,4,10.0
243,87,15,10.0
244,47,15,10.0
245,8,21,10.0
246,7,21,10.0
247,24,21,10.0
248,24,18,10.0
249,35,21,10.0
250,45,21,10.0
251,81,15,10.0
252,81,15,10.0
253,11,15,10.0
254,71,21,10.0
255,71,15,10.0
256,9,18,10.0
257,9,3,10.0
258,58,21,10.0
259,58,3,10.0
260,58,3,10.0
261,29,3,10.0
262,30,9,10.0
263,70,4,10.0
264,76,23,10.0
265,41,9,10.0
266,42,23,10.0
267,2,3,10.0
268,48,9,10.0
269,67,3,10.0
270,67,16,10.0
271,67,13,10.0
272,36,9,10.0
273,36,32,10.0
274,36,16,10.0
275,34,32,10.0
276,34,16,10.0
277,82,23,10.0
278,43,32,10.0
279,15,8,10.0
280,15,34,10.0
281,26,8,10.0
282,75,28,10.0
283,57,32,10.0
284,57,28,10.0
285,65,25,10.0
286,61,2,10.0
287,0,12,11.0
288,5,29,11.0
289,13,12,11.0
290,18,12,11.0
291,22,12,11.0
292,25,17,11.0
293,27,29,11.0
294,27,33,11.0
295,31,29,11.0
296,31,33,11.0
297,33,12,11.0
298,37,7,11.0
299,39,30,11.0
300,40,26,11.0
301,50,7,11.0
302,77,26,11.0
303,88,1,11.0
304,83,11,11.0
305,14,14,11.0
306,6,1,11.0
307,32,1,11.0
308,4,14,11.0
309,53,6,11.0
310,59,5,11.0
311,28,24,11.0
312,49,27,11.0
313,62,27,11.0
314,62,5,11.0
315,52,5,11.0
316,56,5,11.0
317,60,5,11.0
318,60,31,11.0
319,21,6,11.0
320,16,4,11.0
321,46,4,11.0
322,87,6,11.0
323,47,6,11.0
324,47,21,11.0
325,8,31,11.0
326,8,18,11.0
327,7,4,11.0
328,44,4,11.0
329,24,4,11.0
330,35,21,11.0
331,35,4,11.0
332,45,18,11.0
333,45,15,11.0
334,74,21,11.0
335,80,21,11.0
336,80,21,11.0
337,80,15,11.0
338,81,18,11.0
339,81,4,11.0
340,11,4,11.0
341,11,15,11.0
342,72,15,11.0
343,72,3,11.0
344,9,21,11.0
345,29,4,11.0
346,29,15,11.0
347,23,15,11.0
348,23,3,11.0
349,30,3,11.0
350,30,32,11.0
351,86,18,11.0
352,86,4,11.0
353,79,18,11.0
354,70,15,11.0
355,70,9,11.0
356,69,9,11.0
357,69,32,11.0
358,76,3,11.0
359,76,32,11.0
360,41,3,11.0
361,41,23,11.0
362,42,9,11.0
363,2,9,11.0
364,2,32,11.0
365,48,32,11.0
366,67,9,11.0
367,67,32,11.0
368,68,3,11.0
369,68,9,11.0
370,68,23,11.0
371,36,23,11.0
372,34,23,11.0
373,34,19,11.0
374,82,9,11.0
375,43,9,11.0
376,43,23,11.0
377,15,13,11.0
378,26,34,11.0
379,75,2,11.0
380,85,8,11.0
381,85,22,11.0
382,85,20,11.0
383,38,2,11.0
384,57,13,11.0
385,57,8,11.0
386,57,22,11.0
387,57,20,11.0
388,55,13,11.0
389,55,22,11.0
390,55,20,11.0
391,65,22,11.0
392,61,13,11.0
393,61,8,11.0
394,61,25,11.0
395,61,22,11.0
396,0,33,12.0
397,3,33,12.0
398,5,12,12.0
399,10,29,12.0
400,13,17,12.0
401,13,33,12.0
402,22,29,12.0
403,22,33,12.0
404,25,29,12.0
405,33,29,12.0
406,37,26,12.0
407,37,30,12.0
408,39,26,12.0
409,39,7,12.0
410,40,30,12.0
411,50,30,12.0
412,54,7,12.0
413,73,26,12.0
414,77,7,12.0
415,77,0,12.0
416,78,1,12.0
417,88,11,12.0
418,83,1,12.0
419,83,27,12.0
420,84,14,12.0
421,84,7,12.0
422,51,11,12.0
423,66,1,12.0
424,53,1,12.0
425,53,27,12.0
426,59,1,12.0
427,59,6,12.0
428,28,6,12.0
429,28,6,12.0
430,49,31,12.0
431,63,5,12.0
432,63,6,12.0
433,63,31,12.0
434,62,6,12.0
435,62,31,12.0
436,52,31,12.0
437,56,6,12.0
438,56,31,12.0
439,60,27,12.0
440,64,31,12.0
441,1,6,12.0
442,1,31,12.0
443,20,31,12.0
444,21,21,12.0
445,21,4,12.0
446,46,15,12.0
447,47,21,12.0
448,8,15,12.0
449,8,6,12.0
450,7,18,12.0
451,44,18,12.0
452,44,18,12.0
453,24,15,12.0
454,35,18,12.0
455,45,31,12.0
456,45,4,12.0
457,45,15,12.0
458,74,18,12.0
459,74,4,12.0
460,74,15,12.0
461,74,15,12.0
462,74,15,12.0
463,81,21,12.0
464,81,15,12.0
465,72,21,12.0
466,72,18,12.0
467,71,3,12.0
468,9,3,12.0
469,29,18,12.0
470,23,9,12.0
471,86,15,12.0
472,79,4,12.0
473,79,9,12.0
474,79,32,12.0
475,70,3,12.0
476,70,32,12.0
477,69,23,12.0
478,76,9,12.0
479,41,32,12.0
480,42,32,12.0
481,2,23,12.0
482,48,23,12.0
483,67,23,12.0
484,68,32,12.0
485,34,13,12.0
486,34,13,12.0
487,82,32,12.0
488,43,9,12.0
489,15,28,12.0
490,75,25,12.0
491,85,34,12.0
492,38,28,12.0
493,38,22,12.0
494,55,32,12.0
495,65,32,12.0
496,65,13,12.0
497,61,32,12.0
498,61,34,12.0
499,7,21,13.0
